Team,Player,Reference
MIN,Malik Beasley,https://www.basketball-reference.com/players/b/beaslma01.html
MIN,Jaden McDaniels,https://www.basketball-reference.com/players/m/mcdanja02.html
MIN,Naz Reid,https://www.basketball-reference.com/players/r/reidna01.html
MIN,Jarred Vanderbilt,https://www.basketball-reference.com/players/v/vandeja01.html
MIN,Karl-Anthony Towns,https://www.basketball-reference.com/players/t/townska01.html
MIN,Anthony Edwards,https://www.basketball-reference.com/players/e/edwaran01.html
MIN,Taurean Prince,https://www.basketball-reference.com/players/p/princta02.html
MIN,D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html
MIN,Jordan McLaughlin,https://www.basketball-reference.com/players/m/mclaujo01.html
MIN,Patrick Beverley,https://www.basketball-reference.com/players/b/beverpa01.html
MIN,Jaylen Nowell,https://www.basketball-reference.com/players/n/nowelja01.html
MIN,Josh Okogie,https://www.basketball-reference.com/players/o/okogijo01.html
MIN,Nathan Knight,https://www.basketball-reference.com/players/k/knighna01.html
MIN,Leandro Bolmaro,https://www.basketball-reference.com/players/b/bolmale01.html
MIN,Jake Layman,https://www.basketball-reference.com/players/l/laymaja01.html
MIN,McKinley Wright IV,https://www.basketball-reference.com/players/w/wrighmc01.html
NOP,Herbert Jones,https://www.basketball-reference.com/players/j/joneshe01.html
NOP,Devonte' Graham,https://www.basketball-reference.com/players/g/grahade01.html
NOP,Jonas Valančiūnas,https://www.basketball-reference.com/players/v/valanjo01.html
NOP,Garrett Temple,https://www.basketball-reference.com/players/t/templga01.html
NOP,Jaxson Hayes,https://www.basketball-reference.com/players/h/hayesja02.html
NOP,Brandon Ingram,https://www.basketball-reference.com/players/i/ingrabr01.html
NOP,Trey Murphy III,https://www.basketball-reference.com/players/m/murphtr02.html
NOP,Naji Marshall,https://www.basketball-reference.com/players/m/marshna01.html
NOP,Jose Alvarado,https://www.basketball-reference.com/players/a/alvarjo01.html
NOP,Willy Hernangómez,https://www.basketball-reference.com/players/h/hernawi01.html
NOP,Gary Clark,https://www.basketball-reference.com/players/c/clarkga01.html
NOP,Kira Lewis Jr.,https://www.basketball-reference.com/players/l/lewiski01.html
NOP,CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html
NOP,Tony Snell,https://www.basketball-reference.com/players/s/snellto01.html
NOP,Alize Johnson,https://www.basketball-reference.com/players/j/johnsal02.html
NOP,Zion Williamson,https://www.basketball-reference.com/players/w/willizi01.html
NOP,Larry Nance Jr.,https://www.basketball-reference.com/players/n/nancela02.html
NYK,Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html
NYK,Julius Randle,https://www.basketball-reference.com/players/r/randlju01.html
NYK,Evan Fournier,https://www.basketball-reference.com/players/f/fournev01.html
NYK,Immanuel Quickley,https://www.basketball-reference.com/players/q/quickim01.html
NYK,Mitchell Robinson,https://www.basketball-reference.com/players/r/robinmi01.html
NYK,Obi Toppin,https://www.basketball-reference.com/players/t/toppiob01.html
NYK,RJ Barrett,https://www.basketball-reference.com/players/b/barrerj01.html
NYK,Quentin Grimes,https://www.basketball-reference.com/players/g/grimequ01.html
NYK,Taj Gibson,https://www.basketball-reference.com/players/g/gibsota01.html
NYK,Kemba Walker,https://www.basketball-reference.com/players/w/walkeke02.html
NYK,Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html
NYK,Nerlens Noel,https://www.basketball-reference.com/players/n/noelne01.html
NYK,Miles McBride,https://www.basketball-reference.com/players/m/mcbrimi01.html
NYK,Jericho Sims,https://www.basketball-reference.com/players/s/simsje01.html
NYK,Cam Reddish,https://www.basketball-reference.com/players/r/reddica01.html
NYK,Ryan Arcidiacono,https://www.basketball-reference.com/players/a/arcidry01.html
NYK,Luka Šamanić,https://www.basketball-reference.com/players/s/samanlu01.html
OKC,Darius Bazley,https://www.basketball-reference.com/players/b/bazleda01.html
OKC,Josh Giddey,https://www.basketball-reference.com/players/g/giddejo01.html
OKC,Luguentz Dort,https://www.basketball-reference.com/players/d/dortlu01.html
OKC,Tre Mann,https://www.basketball-reference.com/players/m/manntr01.html
OKC,Kenrich Williams,https://www.basketball-reference.com/players/w/willike04.html
OKC,Shai Gilgeous-Alexander,https://www.basketball-reference.com/players/g/gilgesh01.html
OKC,Ty Jerome,https://www.basketball-reference.com/players/j/jeromty01.html
OKC,Aleksej Pokusevski,https://www.basketball-reference.com/players/p/pokusal01.html
OKC,Jeremiah Robinson-Earl,https://www.basketball-reference.com/players/r/robinje02.html
OKC,Mike Muscala,https://www.basketball-reference.com/players/m/muscami01.html
OKC,Derrick Favors,https://www.basketball-reference.com/players/f/favorde01.html
OKC,Aaron Wiggins,https://www.basketball-reference.com/players/w/wiggiaa01.html
OKC,Théo Maledon,https://www.basketball-reference.com/players/m/maledth01.html
OKC,Isaiah Roby,https://www.basketball-reference.com/players/r/robyis01.html
OKC,Vit Krejci,https://www.basketball-reference.com/players/k/krejcvi01.html
OKC,Lindy Waters III,https://www.basketball-reference.com/players/w/waterli01.html
OKC,Olivier Sarr,https://www.basketball-reference.com/players/s/sarrol01.html
OKC,Gabriel Deck,https://www.basketball-reference.com/players/d/deckga01.html
ORL,Franz Wagner,https://www.basketball-reference.com/players/w/wagnefr01.html
ORL,Gary Harris,https://www.basketball-reference.com/players/h/harriga01.html
ORL,Wendell Carter Jr.,https://www.basketball-reference.com/players/c/cartewe01.html
ORL,Terrence Ross,https://www.basketball-reference.com/players/r/rosste01.html
ORL,Mo Bamba,https://www.basketball-reference.com/players/b/bambamo01.html
ORL,Chuma Okeke,https://www.basketball-reference.com/players/o/okekech01.html
ORL,Cole Anthony,https://www.basketball-reference.com/players/a/anthoco01.html
ORL,R.J. Hampton,https://www.basketball-reference.com/players/h/hamptrj01.html
ORL,Moritz Wagner,https://www.basketball-reference.com/players/w/wagnemo01.html
ORL,Jalen Suggs,https://www.basketball-reference.com/players/s/suggsja01.html
ORL,Ignas Brazdeikis,https://www.basketball-reference.com/players/b/brazdig01.html
ORL,Robin Lopez,https://www.basketball-reference.com/players/l/lopezro01.html
ORL,Admiral Schofield,https://www.basketball-reference.com/players/s/schofad01.html
ORL,Markelle Fultz,https://www.basketball-reference.com/players/f/fultzma01.html
ORL,Bol Bol,https://www.basketball-reference.com/players/b/bolbo01.html
ORL,Jonathan Isaac,https://www.basketball-reference.com/players/i/isaacjo01.html
PHI,Georges Niang,https://www.basketball-reference.com/players/n/niangge01.html
PHI,Tyrese Maxey,https://www.basketball-reference.com/players/m/maxeyty01.html
PHI,Furkan Korkmaz,https://www.basketball-reference.com/players/k/korkmfu01.html
PHI,Tobias Harris,https://www.basketball-reference.com/players/h/harrito02.html
PHI,Joel Embiid,https://www.basketball-reference.com/players/e/embiijo01.html
